Student_ID,Future,Aging,PROGRAM,DEGREE,COLLEGE,bb_activity_latest,bb_gip_etc_ratio_std,cum_gpa,cum_credits,ba_credits_passed_prior1yr,ba_age,Gender,cp_prior3mon_pay_cnt,cp_prior3mon_pay_total,payment_auto_flag,risk,NATION_DESC,ind,current_balance,module_cp,day_since_end,in_module,day_since_begin,in_future,day_to_begin,in_dissertation
J00053919,1161.11,0,MBA,MBA,MG,141,77.687146913,2.3,20,3.9029692471,35,M,0,0,0,1,GHANA,9,0,2,107,0,365,0,365,0
J00053919,0,30,MBA,MBA,MG,172,77.687146913,2.3,20,3.9390243902,35,M,0,0,0,1,GHANA,10,1161.11,2,138,0,365,0,365,0
J00053927,0,30,MPH,MPH,PH,104,,1.5,0,0,27,F,0,0,0,1,UNITED KINGDOM,7,1161.11,1,158,0,365,0,365,0
J00053937,1161.11,0,MBA,MBA,MG,4,118.89658771,2.5,20,11.708907741,37,M,1,1161.11,0,0,SAUDI ARABIA,9,0,2,107,1,71,1,27,0
J00053938,259.25,30,MS_SSCM,MS,MG,4,,0.0,0,0,41,M,0,0,0,1,NIGERIA,7,518.52,0,365,1,24,0,365,0
J00053938,0,60,MS_SSCM,MS,MG,1,85.07934255,0.0,0,0,41,M,0,0,0,1,NIGERIA,8,777.77,0,365,1,55,0,365,0
J00053938,0,90,MS_SSCM,MS,MG,14,85.07934255,0.0,0,0,41,M,0,0,0,1,NIGERIA,9,777.77,1,9,1,85,0,365,0
J00053938,0,120,MS_SSCM,MS,MG,45,85.07934255,0.0,0,0,41,M,0,0,0,1,NIGERIA,10,777.77,1,40,1,116,0,365,0
J00053939,0,330,MS_MPA,MS,PA,237,,0.0,0,0,49,M,0,0,0,1,SIERRA LEONE,7,600,1,158,0,365,0,365,0
J00053939,0,330,MS_MPA,MS,PA,268,0,0.0,0,0,49,M,0,0,0,1,SIERRA LEONE,8,600,1,189,0,365,0,365,0
J00053939,0,330,MS_MPA,MS,PA,298,0,0.0,0,0,49,M,0,0,0,1,SIERRA LEONE,9,600,1,219,0,365,0,365,0
J00053939,0,330,MS_MPA,MS,PA,329,0,0.0,0,0,49,M,0,0,0,1,SIERRA LEONE,10,600,1,250,0,365,0,365,0
J00053940,1161.11,0,MS_PRJ,MS,MG,3,137.77067081,1.8,0,8.48606466,31,M,1,1161.11,0,0,INDIA,9,0,1,107,1,71,1,27,0
J00053942,1161.11,0,MS_GPSY,MS,PY,2,125.17609381,2.9,20,14.716216216,53,F,1,1161.11,0,0,CANADA,9,0,2,107,1,71,1,27,0
